name,price_text,comment,shop
狼途LT84机械键盘客制化无线有线蓝牙三模连接电竞游戏键盘平板电脑笔记本办公键盘键鼠套装全键热插拔 【有线版】白冰蓝-青轴,¥90,2万+人看过,狼途官方旗舰店
惠普（HP）GK200机械键盘有线办公游戏键盘 20种背光灯效 87键电竞键盘鼠标套装电脑外设键鼠 侧刻黑莓粉【青轴】白光,¥99,20万+条评价97%好评,海莫数码专营店
雷神（ThundeRobot）有线游戏机械键盘KG3089R红轴幻彩版 电竞89键全键无冲炫酷混光RGBcs家用办公吃鸡无畏契约cs2,¥99,20万+条评价95%好评,雷神京东自营旗舰店
雷柏（Rapoo） V500PRO单光版 有线背光机械键盘 104键全尺寸游戏电竞笔记本电脑办公吃鸡全键无冲键盘 茶轴,¥99,300万+条评价98%好评,雷柏京东自营旗舰店
惠普（HP）GK200机械键盘有线办公游戏键盘 20种背光灯效 87键电竞键盘鼠标套装电脑外设键鼠 侧刻黑莓粉【青轴】白光,¥99,3万+人看过,海莫数码专营店
狼途GK65无线机械键盘有线蓝牙2.4G三模连接全键热插拔全键无冲办公码字游戏笔记本电脑外设键盘高颜值 GK65奶白色-金轴 三模 65键,¥99.9,9000+人看过,狼途官方旗舰店
狼途T98有线机械键盘客制化全键热插拔Gasket结构三模无线蓝牙2.4G电竞游戏办公码字键盘98键配列 【有线】墨影冰蓝光+红轴,¥110,1万+人看过,狼途官方旗舰店
达尔优（dareu）EK815机械合金键盘 有线键盘 游戏键盘 108键单光 男生女生 电脑键盘 白色蓝色 青轴,¥119,100万+条评价30天种草飙升5倍,达尔优京东自营旗舰店
适用ROG华硕天选4/5/6pro机械键盘鼠标套装耳机电竞三件套游戏 有线白蓝青轴87键,¥127.41,8000+人看过,精选产品经营部
AOC GK410有线机械键盘电竞游戏侧刻渐变磁吸上盖键盘机械 支持热插拔全键无冲 笔记本电脑通用键盘 【黑莓粉】热插拔混光-青轴,¥129,400+人看过84%好评,酷联外设产品专营店
适用华硕天选键盘有线天选6pro/5/4/3机械手感游戏鼠标套装拯救者 有线键盘+有线宏鼠标1,¥129.9,2万+条评价95%好评,天选电竞经营部
前行者（EWEADN）TK100朋克机械键盘电竞游戏有线台式电脑笔记本外接办公打字复古外设吃鸡 黑色白光黑轴,¥135.9,20万+条评价96%好评,前行者（EWEADN）京东自营旗舰店
惠普（HP）机械键盘 办公电竞游戏专用有线 台式机笔记本电脑 侧刻渐变黑莓粉白光青轴 104键,¥139,2万+人看过,惠普（HP）影音京东自营旗舰店
狼蛛（AULA）HERO 68HE磁轴键盘RT电竞游戏客制化机械有线RGB灯效五层填充网页驱动无畏契约8K回报率家用办公 侧刻【形意磁轴】白色,¥179,10万+人看过,狼蛛（AULA）官方旗舰店
前行者【国补立省15%】X87Pro/Ultra无线机械键盘有线蓝牙三模gasket客制化游戏电竞办公专用侧刻笔记本 黑莓粉侧刻Pro-筋斗云轴-1万mAh,¥199,9万+人看过,前行者（EWEADN）旗舰店
前行者MT87无线机械键盘鼠标套装有线蓝牙三模高颜值侧刻游戏电竞专用108键办公通用电脑笔记本平板外设 87键黑莓-侧刻【无线蓝牙三模版】白光 青轴（清脆手感）,¥199,6000+人看过,敏涛外设产品专营店
腹灵NX87高颜值三模无线蓝牙机械键盘全键无冲电竞游戏专用音乐律动情人节办公学生 彼岸樱侧刻+鸢尾花轴（办公）+8000毫安 无线_蓝牙+TypeC+2.4G 87键,¥234,2万+人看过,腹灵键鼠旗舰店
前行者【国补立省15%】X87Pro/Ultra无线机械键盘有线蓝牙三模gasket客制化游戏电竞办公专用侧刻笔记本 黑莓粉侧刻Ultra北极拿铁轴V2-1.2万mA,¥259,30万+人看过,前行者（EWEADN）旗舰店
腹灵FL980正刻侧刻客制化电竞游戏办公机械键盘全键热插拔三模无线蓝牙 FL980 V2三模+白透面97键+纯白侧刻 BOX红轴 【游戏&办公】,¥457,100+人看过,腹灵键鼠旗舰店
